2025-09-28 15:49:46,232 - __main__ - INFO - Бот запущен!
2025-09-28 15:49:46,486 - __main__ - INFO - Планировщик уведомлений запущен
2025-09-28 15:49:46,486 - __main__ - ERROR - Ошибка при запуске бота: 'UserStorage' object has no attribute 'cleanup_old_data'
2025-09-28 15:49:46,487 - aiogram.dispatcher - INFO - Start polling
2025-09-28 15:49:46,487 - scheduler - INFO - Планировщик уведомлений запущен (время отправки: 9:00)
2025-09-28 15:49:46,642 - aiogram.dispatcher - INFO - Run polling for bot @DestinyDecoderBot id=7651594720 - 'ezoteric-bot-[DEV]'
2025-09-28 15:49:49,779 - aiogram.event - INFO - Update id=221272113 is handled. Duration 219 ms by bot id=7651594720
2025-09-28 15:49:57,677 - aiogram.event - INFO - Update id=221272114 is handled. Duration 202 ms by bot id=7651594720
2025-09-28 15:50:00,174 - aiogram.event - INFO - Update id=221272115 is handled. Duration 77 ms by bot id=7651594720
2025-09-28 15:51:14,226 - aiogram.dispatcher - INFO - Polling stopped
2025-09-28 15:51:14,489 - __main__ - INFO - Бот остановлен!
2025-09-28 15:51:14,725 - scheduler - INFO - Планировщик уведомлений остановлен
2025-09-28 15:51:14,725 - __main__ - INFO - Планировщик уведомлений остановлен
2025-09-28 15:51:14,726 - aiogram.dispatcher - INFO - Polling stopped for bot @DestinyDecoderBot id=7651594720 - 'ezoteric-bot-[DEV]'
2025-09-28 15:51:17,014 - __main__ - INFO - Обработчики зарегистрированы
2025-09-28 15:51:17,259 - __main__ - INFO - Бот запущен!
2025-09-28 15:51:17,500 - __main__ - INFO - Планировщик уведомлений запущен
2025-09-28 15:51:17,500 - __main__ - ERROR - Ошибка при запуске бота: 'UserStorage' object has no attribute 'cleanup_old_data'
2025-09-28 15:51:17,501 - aiogram.dispatcher - INFO - Start polling
2025-09-28 15:51:17,501 - scheduler - INFO - Планировщик уведомлений запущен (время отправки: 9:00)
2025-09-28 15:51:17,657 - aiogram.dispatcher - INFO - Run polling for bot @DestinyDecoderBot id=7651594720 - 'ezoteric-bot-[DEV]'
2025-09-28 15:51:21,314 - aiogram.event - INFO - Update id=221272116 is handled. Duration 265 ms by bot id=7651594720
2025-09-28 15:52:30,506 - aiogram.dispatcher - INFO - Polling stopped
2025-09-28 15:52:30,758 - __main__ - INFO - Бот остановлен!
2025-09-28 15:52:30,997 - scheduler - INFO - Планировщик уведомлений остановлен
2025-09-28 15:52:30,997 - __main__ - INFO - Планировщик уведомлений остановлен
2025-09-28 15:52:30,998 - aiogram.dispatcher - INFO - Polling stopped for bot @DestinyDecoderBot id=7651594720 - 'ezoteric-bot-[DEV]'
2025-09-28 15:52:33,251 - __main__ - INFO - Обработчики зарегистрированы
2025-09-28 15:52:33,512 - __main__ - INFO - Бот запущен!
2025-09-28 15:52:33,772 - __main__ - INFO - Планировщик уведомлений запущен
2025-09-28 15:52:33,773 - __main__ - ERROR - Ошибка при запуске бота: 'UserStorage' object has no attribute 'cleanup_old_data'
2025-09-28 15:52:33,774 - aiogram.dispatcher - INFO - Start polling
2025-09-28 15:52:33,774 - scheduler - INFO - Планировщик уведомлений запущен (время отправки: 9:00)
2025-09-28 15:52:33,926 - aiogram.dispatcher - INFO - Run polling for bot @DestinyDecoderBot id=7651594720 - 'ezoteric-bot-[DEV]'
2025-09-28 15:52:35,726 - aiogram.event - INFO - Update id=221272117 is handled. Duration 342 ms by bot id=7651594720
2025-09-28 15:52:38,549 - aiogram.event - INFO - Update id=221272118 is handled. Duration 62 ms by bot id=7651594720
2025-09-28 15:52:44,351 - aiogram.event - INFO - Update id=221272119 is handled. Duration 92 ms by bot id=7651594720
2025-09-28 15:55:39,599 - aiogram.dispatcher - INFO - Polling stopped
2025-09-28 15:55:39,856 - __main__ - INFO - Бот остановлен!
2025-09-28 15:55:40,095 - scheduler - INFO - Планировщик уведомлений остановлен
2025-09-28 15:55:40,096 - __main__ - INFO - Планировщик уведомлений остановлен
2025-09-28 15:55:40,097 - aiogram.dispatcher - INFO - Polling stopped for bot @DestinyDecoderBot id=7651594720 - 'ezoteric-bot-[DEV]'
2025-09-28 15:55:42,371 - __main__ - INFO - Обработчики зарегистрированы
2025-09-28 15:55:42,636 - __main__ - INFO - Бот запущен!
2025-09-28 15:55:42,899 - __main__ - INFO - Планировщик уведомлений запущен
2025-09-28 15:55:42,900 - __main__ - ERROR - Ошибка при запуске бота: 'UserStorage' object has no attribute 'cleanup_old_data'
2025-09-28 15:55:42,900 - aiogram.dispatcher - INFO - Start polling
2025-09-28 15:55:42,901 - scheduler - INFO - Планировщик уведомлений запущен (время отправки: 9:00)
2025-09-28 15:55:43,084 - aiogram.dispatcher - INFO - Run polling for bot @DestinyDecoderBot id=7651594720 - 'ezoteric-bot-[DEV]'
2025-09-28 15:55:45,728 - aiogram.event - INFO - Update id=221272120 is handled. Duration 375 ms by bot id=7651594720
2025-09-28 15:55:50,970 - aiogram.event - INFO - Update id=221272121 is handled. Duration 78 ms by bot id=7651594720
2025-09-28 15:55:54,575 - aiogram.event - INFO - Update id=221272122 is handled. Duration 108 ms by bot id=7651594720
2025-09-28 15:55:59,137 - aiogram.event - INFO - Update id=221272123 is handled. Duration 109 ms by bot id=7651594720
2025-09-28 15:56:02,886 - aiogram.event - INFO - Update id=221272124 is not handled. Duration 0 ms by bot id=7651594720
2025-09-28 15:56:05,838 - aiogram.event - INFO - Update id=221272125 is handled. Duration 266 ms by bot id=7651594720
2025-09-28 15:56:07,921 - aiogram.event - INFO - Update id=221272126 is handled. Duration 125 ms by bot id=7651594720
2025-09-28 15:56:09,154 - aiogram.event - INFO - Update id=221272127 is not handled. Duration 0 ms by bot id=7651594720
2025-09-28 15:56:21,428 - aiogram.dispatcher - INFO - Polling stopped
